customer_id,acquisition_date,acquisition_channel,campaign_exposed,retained_90d
c_o000,2025-01-09T00:00:00+00:00,organic,false,true
c_o001,2025-01-15T00:00:00+00:00,organic,false,true
c_o002,2025-01-21T00:00:00+00:00,organic,false,true
c_o003,2025-01-27T00:00:00+00:00,organic,false,true
c_o004,2025-02-02T00:00:00+00:00,organic,false,true
c_o005,2025-02-08T00:00:00+00:00,organic,false,true
c_o006,2025-02-14T00:00:00+00:00,organic,false,true
c_o007,2025-02-20T00:00:00+00:00,organic,false,true
c_o008,2025-02-26T00:00:00+00:00,organic,false,true
c_o009,2025-03-04T00:00:00+00:00,organic,false,true
c_o010,2025-03-10T00:00:00+00:00,organic,false,true
c_o011,2025-03-16T00:00:00+00:00,organic,false,true
c_o012,2025-03-22T00:00:00+00:00,organic,false,false
c_o013,2025-03-28T00:00:00+00:00,organic,false,false
c_o014,2025-04-03T00:00:00+00:00,organic,false,false
c_o015,2025-04-09T00:00:00+00:00,organic,false,false
c_o016,2025-04-15T00:00:00+00:00,organic,false,false
c_o017,2025-04-21T00:00:00+00:00,organic,false,false
c_o018,2025-04-27T00:00:00+00:00,organic,false,false
c_o019,2025-05-03T00:00:00+00:00,organic,false,false
c_o020,2025-05-09T00:00:00+00:00,organic,false,false
c_o021,2025-05-15T00:00:00+00:00,organic,false,false
c_o022,2025-05-21T00:00:00+00:00,organic,false,false
c_o023,2025-05-27T00:00:00+00:00,organic,false,false
c_o024,2025-06-02T00:00:00+00:00,organic,false,false
c_p000,2025-01-06T00:00:00+00:00,paid,true,true
c_p001,2025-01-12T00:00:00+00:00,paid,true,true
c_p002,2025-01-18T00:00:00+00:00,paid,true,true
c_p003,2025-01-24T00:00:00+00:00,paid,true,true
c_p004,2025-01-30T00:00:00+00:00,paid,true,true
c_p005,2025-02-05T00:00:00+00:00,paid,true,true
c_p006,2025-02-11T00:00:00+00:00,paid,true,true
c_p007,2025-02-17T00:00:00+00:00,paid,true,true
c_p008,2025-02-23T00:00:00+00:00,paid,true,true
c_p009,2025-03-01T00:00:00+00:00,paid,true,true
c_p010,2025-03-07T00:00:00+00:00,paid,true,true
c_p011,2025-03-13T00:00:00+00:00,paid,true,true
c_p012,2025-03-19T00:00:00+00:00,paid,true,true
c_p013,2025-03-25T00:00:00+00:00,paid,true,true
c_p014,2025-03-31T00:00:00+00:00,paid,true,true
c_p015,2025-04-06T00:00:00+00:00,paid,true,false
c_p016,2025-04-12T00:00:00+00:00,paid,true,false
c_p017,2025-04-18T00:00:00+00:00,paid,true,false
c_p018,2025-04-24T00:00:00+00:00,paid,true,false
c_p019,2025-04-30T00:00:00+00:00,paid,true,false
c_p020,2025-05-06T00:00:00+00:00,paid,true,false
c_p021,2025-05-12T00:00:00+00:00,paid,true,false
c_p022,2025-05-18T00:00:00+00:00,paid,true,false
c_p023,2025-05-24T00:00:00+00:00,paid,true,false
c_p024,2025-05-30T00:00:00+00:00,paid,true,false
